Date,Month,Day,County,State,Confirmed Cases,Deaths
3/19/2020,3,19,Abbeville,South Carolina,1,0
3/20/2020,3,20,Abbeville,South Carolina,1,0
3/21/2020,3,21,Abbeville,South Carolina,1,0
3/22/2020,3,22,Abbeville,South Carolina,1,0
3/23/2020,3,23,Abbeville,South Carolina,1,0
3/24/2020,3,24,Abbeville,South Carolina,1,0
3/25/2020,3,25,Abbeville,South Carolina,3,0
3/26/2020,3,26,Abbeville,South Carolina,4,0
3/27/2020,3,27,Abbeville,South Carolina,4,0
3/28/2020,3,28,Abbeville,South Carolina,4,0
3/29/2020,3,29,Abbeville,South Carolina,4,0
3/30/2020,3,30,Abbeville,South Carolina,3,0
3/31/2020,3,31,Abbeville,South Carolina,4,0
4/1/2020,4,1,Abbeville,South Carolina,4,0
4/2/2020,4,2,Abbeville,South Carolina,6,0
4/3/2020,4,3,Abbeville,South Carolina,6,0
4/4/2020,4,4,Abbeville,South Carolina,6,0
4/5/2020,4,5,Abbeville,South Carolina,6,0
4/6/2020,4,6,Abbeville,South Carolina,6,0
4/7/2020,4,7,Abbeville,South Carolina,5,0
4/8/2020,4,8,Abbeville,South Carolina,6,0
4/9/2020,4,9,Abbeville,South Carolina,7,0
4/10/2020,4,10,Abbeville,South Carolina,7,0
4/11/2020,4,11,Abbeville,South Carolina,9,0
4/12/2020,4,12,Abbeville,South Carolina,9,0
4/13/2020,4,13,Abbeville,South Carolina,9,0
4/14/2020,4,14,Abbeville,South Carolina,9,0
4/15/2020,4,15,Abbeville,South Carolina,10,0
4/16/2020,4,16,Abbeville,South Carolina,10,0
4/17/2020,4,17,Abbeville,South Carolina,10,0
4/18/2020,4,18,Abbeville,South Carolina,15,0
4/19/2020,4,19,Abbeville,South Carolina,17,0
4/20/2020,4,20,Abbeville,South Carolina,17,0
4/21/2020,4,21,Abbeville,South Carolina,18,0
4/22/2020,4,22,Abbeville,South Carolina,22,0
4/23/2020,4,23,Abbeville,South Carolina,23,0
4/24/2020,4,24,Abbeville,South Carolina,24,0
3/22/2020,3,22,Acadia,Louisiana,1,0
3/23/2020,3,23,Acadia,Louisiana,1,0
3/24/2020,3,24,Acadia,Louisiana,2,0
3/25/2020,3,25,Acadia,Louisiana,2,0
3/26/2020,3,26,Acadia,Louisiana,3,0
3/27/2020,3,27,Acadia,Louisiana,8,1
3/28/2020,3,28,Acadia,Louisiana,9,1
3/29/2020,3,29,Acadia,Louisiana,9,1
3/30/2020,3,30,Acadia,Louisiana,11,1
3/31/2020,3,31,Acadia,Louisiana,39,1
4/1/2020,4,1,Acadia,Louisiana,47,1
4/2/2020,4,2,Acadia,Louisiana,61,1
4/3/2020,4,3,Acadia,Louisiana,72,1
4/4/2020,4,4,Acadia,Louisiana,65,2
4/5/2020,4,5,Acadia,Louisiana,75,2
4/6/2020,4,6,Acadia,Louisiana,79,2
4/7/2020,4,7,Acadia,Louisiana,82,2
4/8/2020,4,8,Acadia,Louisiana,86,2
4/9/2020,4,9,Acadia,Louisiana,89,3
4/10/2020,4,10,Acadia,Louisiana,94,4
4/11/2020,4,11,Acadia,Louisiana,98,4
4/12/2020,4,12,Acadia,Louisiana,99,5
4/13/2020,4,13,Acadia,Louisiana,101,5
4/14/2020,4,14,Acadia,Louisiana,104,5
4/15/2020,4,15,Acadia,Louisiana,105,5
4/16/2020,4,16,Acadia,Louisiana,108,6
4/17/2020,4,17,Acadia,Louisiana,110,6
4/18/2020,4,18,Acadia,Louisiana,110,7
4/19/2020,4,19,Acadia,Louisiana,110,7
4/20/2020,4,20,Acadia,Louisiana,114,7
4/21/2020,4,21,Acadia,Louisiana,114,7
4/22/2020,4,22,Acadia,Louisiana,117,7
4/23/2020,4,23,Acadia,Louisiana,117,7
4/24/2020,4,24,Acadia,Louisiana,129,7
3/20/2020,3,20,Accomack,Virginia,1,0
3/21/2020,3,21,Accomack,Virginia,1,0
3/22/2020,3,22,Accomack,Virginia,1,0
3/23/2020,3,23,Accomack,Virginia,1,0
3/24/2020,3,24,Accomack,Virginia,1,0
3/25/2020,3,25,Accomack,Virginia,1,0
3/26/2020,3,26,Accomack,Virginia,2,0
3/27/2020,3,27,Accomack,Virginia,2,0
3/28/2020,3,28,Accomack,Virginia,2,0
3/29/2020,3,29,Accomack,Virginia,3,0
3/30/2020,3,30,Accomack,Virginia,6,0
3/31/2020,3,31,Accomack,Virginia,7,0
4/1/2020,4,1,Accomack,Virginia,7,0
4/2/2020,4,2,Accomack,Virginia,10,0
4/3/2020,4,3,Accomack,Virginia,8,0
4/4/2020,4,4,Accomack,Virginia,8,0
4/5/2020,4,5,Accomack,Virginia,11,0
4/6/2020,4,6,Accomack,Virginia,11,0
4/7/2020,4,7,Accomack,Virginia,11,0
4/8/2020,4,8,Accomack,Virginia,11,0
